amplitud_inicial;frecuencia_inicial;amplitud_final;frecuencia_final
0,024850859;12023,4375;0,040648446;12023,4375
0,039932792;12046,875;0,09160787;12046,875
0,058393383;12070,3125;0,125746304;12070,3125
0,014428002;12093,75;0,10939589;12093,75
0,037661733;12117,1875;0,108435202;12117,1875
0,089727527;12140,625;0,110954577;12140,625
0,063748467;12164,0625;0,073273953;12164,0625
0,060913112;12187,5;0,121032438;12187,5
0,011410779;12210,9375;0,080609134;12210,9375
0,031336579;12234,375;0,091782508;12234,375
0,067952586;12257,8125;0,108463099;12257,8125
0,055905711;12281,25;0,089657306;12281,25
0,064096755;12304,6875;0,089424428;12304,6875
0,053348936;12328,125;0,196193882;12328,125
0,020079964;12351,5625;0,064833679;12351,5625
0,052079611;12375;0,052763271;12375
0,052804315;12398,4375;0,060813508;12398,4375
0,047260727;12421,875;0,131715727;12421,875
0,003709231;12445,3125;0,018597961;12445,3125
0,051387889;12468,75;0,219311254;12468,75
0,064855531;12492,1875;0,128086066;12492,1875
0,095180308;12515,625;0,185693926;12515,625
0,032612341;12539,0625;0,129413448;12539,0625
0,093266685;12562,5;0,044490778;12562,5
0,084684655;12585,9375;0,177306582;12585,9375
0,031520862;12609,375;0,226346565;12609,375
0,050018533;12632,8125;0,293543351;12632,8125
0,053967496;12656,25;0,335186154;12656,25
0,026401233;12679,6875;0,18454009;12679,6875
0,018219858;12703,125;0,185473468;12703,125
0,060277363;12726,5625;0,029815357;12726,5625
0,02780683;12750;0,124914369;12750
0,042455818;12773,4375;0,197463894;12773,4375
0,032972515;12796,875;0,327608393;12796,875
0,050876033;12820,3125;0,26428929;12820,3125
0,135042577;12843,75;0,267627892;12843,75
0,097142512;12867,1875;0,191712406;12867,1875
0,050128943;12890,625;0,247077563;12890,625
0,041706082;12914,0625;0,159497795;12914,0625
0,014417494;12937,5;0,188985449;12937,5
0,056131398;12960,9375;0,349221912;12960,9375
0,037463973;12984,375;0,238737894;12984,375
0,034973212;13007,8125;0,266172905;13007,8125
0,026749034;13031,25;0,237304415;13031,25
0,045150205;13054,6875;0,178335158;13054,6875
0,05482289;13078,125;0,025128956;13078,125
0,017212443;13101,5625;0,050729652;13101,5625
0,070063824;13125;0,089139633;13125
0,070107271;13148,4375;0,07414252;13148,4375
0,030257345;13171,875;0,104220204;13171,875
0,036328471;13195,3125;0,061549395;13195,3125
0,070536465;13218,75;0,097324639;13218,75
0,054129211;13242,1875;0,166976984;13242,1875
0,011979367;13265,625;0,217420462;13265,625
0,027541671;13289,0625;0,223648967;13289,0625
0,023944196;13312,5;0,333167426;13312,5
0,031893601;13335,9375;0,214952177;13335,9375
0,019479484;13359,375;0,145199481;13359,375
0,047897347;13382,8125;0,210602361;13382,8125
0,02110172;13406,25;0,241784034;13406,25
0,027333794;13429,6875;0,188918287;13429,6875
0,051720055;13453,125;0,267975124;13453,125
0,036410105;13476,5625;0,161924006;13476,5625
0,025144354;13500;0,144936459;13500
